"","Id","Apellido","Nombre","Propio","Padre","Madre","PIngFam","IngFam","Hijos","Exitable","Extravagante","Pesimista","Timido","Sentimental","Dependiente","Responsable","Capaz","Sociable","Servicial","Etico","Conciente","Espiritual","Impulsivo","Desordenado","Temeroso","Vago","Apego","Empatia","Compasivo","VxH"
"2011",2011,"WCXDT","OEWQE","P","P","S",0.083079658,25539.47818,4,0.737044005,0.225196693,0.668606823,0.139566863,0.002379157,0.254807425,0.579332991,0.595379099,0.228359244,0.366053843,0.463417984,0.246468436,0.148756708,0.755181505,0.491887625,0.820366636,0.2030736,0.649648139,0.225707403,0.428294928,0.960831856
"2012",2012,"CUBXJ","PFUOL","P","P","P",0.718927987,16838.0547,0,0.873836147,0.193532977,0.667065085,0.587975773,0.528804022,0.944482164,0.019264627,0.909948009,0.346157989,0.920125693,0.405829725,0.681512571,0.988713739,0.145187093,0.122602876,0.688896381,0.853779229,0.762159828,0.924250949,0.961859544,0.349234672
"2013",2013,"OMGGS","PARRT","P","P","P",0.953493232,48110.93902,0,0.935788225,0.421493314,0.260516388,0.410657941,0.236753676,0.53853424,0.113225355,0.067785123,0.057953494,0.572582542,0.489286579,0.099492888,0.646551437,0.835497251,0.546732791,0.638728609,0.648628433,0.683887549,0.307483174,0.964326698,0.310608046
"2014",2014,"NCHFQ","IMCCO","S","S","S",0.03422805,43969.47115,0,0.001565355,0.955658268,0.323976064,0.01529164,0.158544294,0.092773953,0.853754358,0.223271163,0.754517662,0.740271405,0.64036017,0.735979117,0.991883474,0.274392312,0.39665927,0.174770818,0.475385413,0.488943551,0.086975547,0.337984942,0.870637334
"2015",2015,"YXCBP","PWHQR","P","U","S",0.215336836,27829.21402,1,0.829427287,0.999802791,0.118361725,0.164061642,0.16720194,0.351787941,0.110969546,0.187048513,0.057856387,0.578291056,0.166149644,0.746290998,0.983705522,0.724929234,0.477483193,0.33936577,0.50273002,0.620531281,0.113405763,0.117779438,0.900763781
"2016",2016,"MWIHA","DTLYF","P","U","S",0.176945443,21417.04397,0,0.951527669,0.799603506,0.174328517,0.378288406,0.535644213,0.97343437,0.16730146,0.238593626,0.663008195,0.693411691,0.885781952,0.888178789,0.444592542,0.425472001,0.563295457,0.280556561,0.383121243,0.880910555,0.403367357,0.013713137,0.576878408
"2017",2017,"KOIYQ","UKADY","P","P","P",0.920717268,19332.32002,1,0.503853084,0.039161927,0.752329534,0.759152012,0.283168259,0.63212689,0.282570435,0.787381758,0.081970605,0.049843135,0.933577908,0.672861313,0.528709691,0.116634039,0.658134051,0.332932204,0.95387316,0.304097644,0.970707276,0.115504914,0.265631672
"2018",2018,"VBIEP","HEYQD","P","U","U",0.871839808,43009.92662,0,0.364115676,0.953355965,0.752416107,0.720851685,0.996390149,0.121770807,0.445176673,0.845351362,0.987816733,0.169502084,0.095838326,0.815944601,0.609217749,0.274102216,0.891691556,0.756427777,0.352127894,0.535516339,0.474787391,0.085604678,0.555368704
"2019",2019,"UNSLP","TVWHR","P","U","U",0.463193177,26335.68378,1,0.163506604,0.149969239,0.769637933,0.502307891,0.367004933,0.71123887,0.340336928,0.809535696,0.950928718,0.235728002,0.754659217,0.89480132,0.600468811,0.320412669,0.257649809,0.558851708,0.144336431,0.052632981,0.639813058,0.359424693,0.71047688
"2020",2020,"MWOBM","GHGSL","S","P","P",0.501300908,15777.40032,0,0.216415688,0.790432345,0.696656171,0.284919521,0.431051721,0.592776842,0.988724371,0.44583827,0.141586145,0.851157306,0.627463559,0.812079507,0.552244491,0.028432272,0.288410536,0.724050612,0.612023003,0.700184716,0.834091255,0.658487828,0.506182264
"2021",2021,"AFQGC","TBQFU","S","U","P",0.627833548,35570.9609,0,0.419494213,0.490838127,0.694173046,0.206386022,0.486475955,0.477880958,0.591873647,0.907583751,0.233104605,0.366904212,0.587312112,0.303110971,0.571510662,0.604056258,0.476618113,0.151281001,0.16854052,0.483276984,0.308065836,0.338048794,0.790676956
"2022",2022,"AGHMQ","AJKFP","P","P","P",0.568822293,24812.28597,0,0.81120637,0.753701811,0.166218285,0.346688528,0.535651968,0.281963006,0.164757111,0.475889853,0.479002845,0.536236854,0.637218981,0.564499516,0.337714041,0.560633421,0.37423569,0.721219931,0.831881069,0.122166193,0.638908826,0.957412955,0.383180189
"2023",2023,"VLDLR","ESKAA","P","P","P",0.407694251,26013.24927,0,0.498237895,0.636076294,0.337285931,0.193072358,0.089298053,0.203984572,0.843007932,0.190903311,0.148835029,0.998940843,0.552983548,0.848700664,0.55935493,0.403500831,0.590025379,0.996783588,0.183892108,0.32832373,0.422928464,0.571975807,0.560402622
"2024",2024,"JWUJX","QTKUF","P","P","S",0.779473564,48063.0184,1,0.187660533,0.851254385,0.652091817,0.217974315,0.321081284,0.786185188,0.068917013,0.707145866,0.007941046,0.047016748,0.545790487,0.592853159,0.022285995,0.932159621,0.001309589,0.309938842,0.566602293,0.048975685,0.820339383,0.390339386,0.644193193
"2025",2025,"DPGTH","WOKYR","S","S","P",0.763535788,230.7755651,3,0.675503113,0.934256632,0.752015205,0.109281418,0.913869854,0.732782767,0.566169226,0.485567848,0.140168941,0.813048365,0.94915106,0.746886292,0.123138998,0.652976373,0.748569978,0.381675229,0.274251654,0.923073236,0.064240086,0.150579872,0.794379101
"2026",2026,"AFSIE","XCUFJ","P","P","P",0.757048442,6400.466006,2,0.89299856,0.128200807,0.012568762,0.898360355,0.680040824,0.529058804,0.439502803,0.636801879,0.806924029,0.229321236,0.455021828,0.849796435,0.333571915,0.148666889,0.382382046,0.276278801,0.994877726,0.50407403,0.803756308,0.156416984,0.537375659
"2027",2027,"VHJFO","UAFKY","S","S","P",0.015468201,8117.391741,0,0.132484054,0.876536042,0.543600878,0.765405676,0.236294289,0.272380722,0.790931803,0.974901153,0.139205083,0.59701559,0.377576552,0.610633193,0.768517971,0.694325634,0.80404634,0.653894312,0.119961373,0.115088024,0.254763669,0.575595069,0.696670958
"2028",2028,"SWUKP","MBNPH","U","S","P",0.281089418,32858.72307,0,0.166177176,0.3419846,0.639251745,0.324865737,0.35997439,0.095776576,0.962812681,0.028064646,0.227832259,0.540970414,0.932508873,0.99221389,0.460881596,0.124041809,0.712468979,0.822350344,0.711376345,0.253140963,0.40395497,0.160954959,0.290478689
"2029",2029,"UGHNY","QSHGL","P","S","U",0.20362659,37697.90531,0,0.255652091,0.294177694,0.456951034,0.447568565,0.181619329,0.586830724,0.140929849,0.579655559,0.571520285,0.23785715,0.412768783,0.446303867,0.07678752,0.614509495,0.081454836,0.921546176,0.314083469,0.342932512,0.395113848,0.364272385,0.604359644
"2030",2030,"IINAX","YCNMB","S","U","P",0.40755872,35826.15978,3,0.477680414,0.002642631,0.984031897,0.01800311,0.501782559,0.827681453,0.802710151,0.964748277,0.706593393,0.940461306,0.974319109,0.999701412,0.783883148,0.00375708,0.565037614,0.299254595,0.603437478,0.459652791,0.771038858,0.125862701,0.817904761
"2031",2031,"HLAKK","QDWXJ","P","P","P",0.132338775,47868.6524,0,0.657117666,0.502614328,0.802455862,0.629753167,0.900887096,0.177944947,0.530392156,0.873433451,0.861310372,0.710744463,0.797103196,0.118418892,0.887466546,0.629505885,0.535368178,0.285692492,0.496269037,0.05111451,0.112513376,0.197825063,0.626551566
"2032",2032,"UKIKE","PSNVB","P","P","S",0.120514176,26731.14442,3,0.306914562,0.429134243,0.634594409,0.135257561,0.18774598,0.398787172,0.13772308,0.583007682,0.071085182,0.572393701,0.813505113,0.14175967,0.555193282,0.546589885,0.007242003,0.895645424,0.115540429,0.893153764,0.685785635,0.083670941,0.863133344
"2033",2033,"STWXO","PBHLT","S","S","P",0.086880131,16839.41397,0,0.675970414,0.368721552,0.884138841,0.267475106,0.800392832,0.05494842,0.85831223,0.468348397,0.919895018,0.071241214,0.675403943,0.261796554,0.126903529,0.721586685,0.48134734,0.531010961,0.211048404,0.223056883,0.353334585,0.206927555,0.845031275
"2034",2034,"HECJI","AOTGN","P","P","S",0.697124566,2355.984017,0,0.469685436,0.867792264,0.58559933,0.350610068,0.262556638,0.532290596,0.793235749,0.961935301,0.246325619,0.792541934,0.174648562,0.731653394,0.077452319,0.245508129,0.047419069,0.908619142,0.297602877,0.000523039,0.485172623,0.460390516,0.695374992
"2035",2035,"AQKJL","FYYRP","P","S","P",0.214381098,11181.48994,4,0.917685492,0.200840668,0.375027166,0.433817879,0.388078532,0.389008713,0.896861914,0.528258468,0.560575944,0.131323586,0.684978357,0.670745584,0.585947911,0.330472343,0.744480194,0.215872678,0.248259056,0.810482103,0.545864165,0.813780847,0.682970086
"2036",2036,"HTGCF","QAPTR","S","U","S",0.963878973,6070.195419,0,0.964813487,0.429401719,0.540325242,0.612607571,0.980363064,0.774723665,0.296302663,0.98778478,0.624774803,0.649485669,0.20239629,0.626391638,0.1442779,0.537412824,0.308655224,0.6812868,0.301657495,0.968675918,0.137041236,0.141151305,0.886143242
"2037",2037,"RUGEQ","RRJVW","S","P","S",0.49555621,6911.452446,0,0.55038308,0.506708947,0.096723606,0.428858663,0.369705082,0.827818386,0.396265509,0.429510224,0.827475515,0.294051321,0.001736034,0.087788854,0.471423461,0.373532987,0.935190645,0.131745396,0.615595707,0.085939592,0.531539498,0.77673834,0.619964139
"2038",2038,"YBWEC","AYIUG","S","P","U",0.31140878,41197.30596,0,0.375548512,0.130660743,0.750119403,0.139200767,0.423555153,0.113504814,0.115714339,0.81746179,0.964281173,0.584148161,0.072842128,0.331487885,0.74606925,0.247849804,0.616330073,0.86928627,0.400499055,0.271560062,0.579560863,0.034833567,0.768500085
"2039",2039,"EOLXD","TBPGC","S","P","P",0.101464365,8858.981211,1,0.471434311,0.268010742,0.4942703,0.73870078,0.272655948,0.766210643,0.056527611,0.477804799,0.921690191,0.866538052,0.654257968,0.156003811,0.529491697,0.960854833,0.675314026,0.148983495,0.174744793,0.348865452,0.678625379,0.981080495,0.564140144
"2040",2040,"TWBGM","GQSPK","P","P","P",0.488554827,15590.74551,3,0.67751809,0.484875142,0.774199984,0.186547115,0.112112402,0.408687694,0.473653371,0.378399507,0.893641241,0.172904012,0.047265622,0.909943624,0.57132793,0.381116326,0.291232622,0.035916627,0.025633783,0.608200999,0.097647594,0.223988019,0.759289916
"2041",2041,"ORTGX","UXGAN","S","S","S",0.967197055,19704.98476,3,0.532683627,0.876746356,0.350188983,0.286943466,0.246143533,0.460292714,0.255892235,0.848366879,0.828038279,0.752461507,0.854175497,0.434671266,0.039756281,0.594242416,0.933620861,0.615241128,0.516491343,0.554086428,0.780607621,0.937720622,0.684437947
"2042",2042,"BAHXD","QFCVB","S","S","S",0.562016579,49478.26275,2,0.661295674,0.268820049,0.356434937,0.992108402,0.248853657,0.424722967,0.982786227,0.438679591,0.228013808,0.266498939,0.02547166,0.504882932,0.933899584,0.778561346,0.186269791,0.395602156,0.554780478,0.600336337,0.81313809,0.768025006,0.561571812
"2043",2043,"JMHEL","GYIIX","P","P","U",0.492873035,46953.45694,0,0.36306517,0.769533102,0.079415889,0.349954062,0.908057548,0.157476837,0.496606231,0.466018486,0.499496222,0.124785653,0.678609243,0.585773958,0.846329524,0.714753255,0.042612847,0.231244632,0.87246026,0.185901973,0.589363564,0.425452933,0.360599133
"2044",2044,"PATCL","UFAME","S","P","U",0.96086641,23502.04162,1,0.310755793,0.137767974,0.804368824,0.306676154,0.728033071,0.928590024,0.040621502,0.711346784,0.894499242,0.536574718,0.06980057,0.979302827,0.772903491,0.190505019,0.66178079,0.870600817,0.05866671,0.058088416,0.023010104,0.200475393,0.463319732
"2045",2045,"WUXMN","USVOF","U","S","S",0.13227185,2547.286759,0,0.192709602,0.089929046,0.241700133,0.011897767,0.934501361,0.280305365,0.58178129,0.798476084,0.490437131,0.760610073,0.42901169,0.001128395,0.516830697,0.983757031,0.038940394,0.31869958,0.602455814,0.191008117,0.096880269,0.995186256,0.644517841
"2046",2046,"ANOSR","VVSGF","P","S","U",0.761078353,19882.09524,0,0.686131379,0.046575123,0.841607418,0.385300393,0.644022951,0.658221032,0.338683212,0.830303016,0.447426127,0.218996652,0.011467796,0.814725144,0.407851081,0.432201451,0.267162245,0.723122397,0.883605551,0.526687688,0.65725069,0.752214945,0.530841672
"2047",2047,"WYUCB","CEAEW","P","P","P",0.095519354,44053.22159,0,0.662465156,0.127706747,0.507643554,0.726712188,0.695506077,0.51336638,0.662148243,0.793208541,0.349265118,0.509821186,0.807786923,0.313927206,0.8941794,0.649962039,0.577673625,0.55997809,0.577513817,0.247548059,0.334636467,0.127543883,0.520601165
"2048",2048,"NKUAQ","EGMNE","P","P","P",0.023165906,13667.12904,1,0.177730427,0.268933856,0.65592816,0.285064219,0.931875033,0.217993211,0.818734829,0.38621868,0.350811861,0.253566405,0.90831182,0.490948755,0.726473954,0.789809801,0.071838097,0.005192443,0.976014346,0.19216436,0.98087326,0.974877481,0.356723078
"2049",2049,"GUXXE","XBPPX","S","S","U",0.768242179,19638.4166,0,0.687585248,0.522450839,0.569993837,0.553029507,0.938544566,0.712305471,0.889854949,0.897812861,0.340218762,0.207503055,0.170276549,0.038114448,0.914870955,0.315384461,0.90660607,0.469759362,0.148744566,0.299879021,0.78345468,0.173805862,0.685606547
"2050",2050,"QNLLF","FXLGH","S","U","S",0.502483364,11175.92134,3,0.252259793,0.363230595,0.673165399,0.072400054,0.526548569,0.982488606,0.372515588,0.90752123,0.616014785,0.396062502,0.910654994,0.4657937,0.84398092,0.63429087,0.140728419,0.020177511,0.99777308,0.162639676,0.923965001,0.422081754,0.957883006
"2051",2051,"UMYPV","VXJAR","S","U","P",0.768219609,42372.01636,0,0.259953529,0.679536956,0.083984127,0.612439889,0.721327594,0.2968674,0.849898097,0.02809378,0.637298062,0.606337976,0.13449527,0.080856208,0.378310756,0.046256653,0.48851352,0.532729678,0.894495368,0.059856757,0.960282748,0.502280055,0.605947455
"2052",2052,"VYGAG","QRHXY","P","S","U",0.722325694,46199.95513,4,0.802935673,0.437352289,0.615210947,0.356164629,0.077791962,0.345226649,0.050531548,0.677667956,0.914530815,0.36704852,0.603943364,0.663944151,0.565811526,0.845609281,0.879536177,0.484774529,0.297815705,0.010550705,0.784145866,0.133021594,0.716546287
"2053",2053,"YFRYF","CCHJX","U","P","P",0.185034971,1687.652391,0,0.436025246,0.116423309,0.200303122,0.944256623,0.420847571,0.981854604,0.277343907,0.379927948,0.433771085,0.415527617,0.809349934,0.800153257,0.354178558,0.88769908,0.380595985,0.16107572,0.573097475,0.288715753,0.59543411,0.508939284,0.387864658
"2054",2054,"GLLMV","PGFNN","S","P","P",0.5441304,16400.9032,2,0.248142995,0.147269838,0.451779527,0.200146375,0.346683528,0.46914909,0.961702341,0.299388455,0.549927931,0.143999457,0.090256193,0.970597514,0.180076286,0.333013321,0.976074411,0.441512569,0.500333679,0.931938494,0.059422907,0.369103164,0.933599557
"2055",2055,"MLLMS","MXHQL","P","P","P",0.454698286,40960.1407,0,0.047745565,0.414016335,0.588842989,0.672919292,0.860745911,0.245218798,0.32374081,0.985736968,0.889136153,0.07941128,0.96334747,0.722579127,0.100406109,0.799201843,0.925083851,0.415393695,0.435155424,0.084595377,0.775059546,0.320772407,0.586169668
"2056",2056,"CRNRE","DFUXR","S","U","U",0.802192885,39018.09231,0,0.985937022,0.517406803,0.249222281,0.730927441,0.704153708,0.479109089,0.506026825,0.887566538,0.003407366,0.121219495,0.264854577,0.385493473,0.992668562,0.990783996,0.444007471,0.458225682,0.377220224,0.576612281,0.490507922,0.961591952,0.748998766
"2057",2057,"SLLAQ","NFPJM","P","P","S",0.007154141,7148.322888,0,0.679259198,0.029585436,0.844552731,0.407794369,0.915097405,0.334695252,0.363279699,0.484396746,0.122781913,0.679552462,0.899881276,0.770609996,0.290721986,0.633343395,0.860800423,0.979784958,0.751238147,0.99946919,0.040123117,0.171954221,0.510081788
"2058",2058,"XKEQB","UUBUT","P","S","U",0.79184532,24618.49908,0,0.80629761,0.672433032,0.747300112,0.156478098,0.971239609,0.205611715,0.451507039,0.233490748,0.948488762,0.940971272,0.628808791,0.069691156,0.937471855,0.771425502,0.870121125,0.498683084,0.94139229,0.185535507,0.42480132,0.209638305,0.588970536
"2059",2059,"VJDYR","AAICB","P","S","S",0.821857349,1490.012597,0,0.466372804,0.892327871,0.004185526,0.415980469,0.591182273,0.275865609,0.398693008,0.371811459,0.793654782,0.967868578,0.007006937,0.386658447,0.489622999,0.469298762,0.376817459,0.8651392,0.548324193,0.489953871,0.245843764,0.823867366,0.705275282
"2060",2060,"GNHXA","YGHTE","S","S","P",0.532363289,30258.62261,0,0.637595642,0.629655319,0.083450575,0.479738002,0.373671437,0.730334042,0.923299243,0.835484589,0.381941923,0.60029328,0.358194806,0.401245067,0.372051977,0.088772092,0.253833868,0.094112804,0.865487267,0.559435145,0.51416106,0.629765274,0.735169164
"2061",2061,"NKLUW","IQXBE","P","P","S",0.519952695,16320.07712,0,0.266280312,0.965949795,0.553934787,0.139326721,0.442763923,0.645461012,0.57973878,0.041225441,0.106361795,0.194737976,0.820601297,0.979620636,0.077000532,0.61121679,0.416870681,0.186582661,0.100373642,0.5753657,0.424063039,0.225398511,0.612105767
"2062",2062,"TVCSN","YNHYI","P","S","P",0.25469041,45635.29639,0,0.48968564,0.633866305,0.855369356,0.89769563,0.558665158,0.631293512,0.284581156,0.267371243,0.789842902,0.73887993,0.136955592,0.550421358,0.938940742,0.22439429,0.39035481,0.390264647,0.241169114,0.65761994,0.148892662,0.481137684,0.333164677
"2063",2063,"MTKBI","MDCKC","P","P","S",0.920113417,21874.75832,0,0.756781379,0.3778439,0.291051023,0.517737659,0.129306736,0.850592109,0.342770468,0.242216847,0.956468662,0.588284329,0.885079841,0.380605724,0.104745943,0.724131688,0.415579142,0.486095053,0.704171077,0.415686146,0.482005639,0.765514169,0.638934526
"2064",2064,"IOPBC","ALQEN","S","P","S",0.698187416,45957.76309,3,0.300435653,0.970979566,0.345858424,0.879249936,0.882698676,0.094267061,0.169006335,0.991977022,0.030994965,0.526556267,0.824244892,0.310348576,0.712706516,0.941238145,0.513974208,0.62659715,0.010299151,0.346139957,0.324863203,0.076312426,0.677755897
"2065",2065,"LHFMB","JELYE","S","P","P",0.953680522,26704.54235,3,0.175714652,0.861404625,0.142871251,0.39075885,0.342466621,0.773341259,0.235926994,0.412194993,0.55635881,0.844108536,0.606814965,0.782830284,0.382375058,0.76479319,0.730138361,0.288128108,0.310739031,0.381727986,0.123731685,0.23617748,0.988158877
"2066",2066,"EDVBG","MMTBU","P","S","U",0.904460937,41804.07165,1,0.971816901,0.270448999,0.288278005,0.430211547,0.247543151,0.381629461,0.856455089,0.14544357,0.960280088,0.351087771,0.744668642,0.003829926,0.132396136,0.179641466,0.634204067,0.944873671,0.770111971,0.694897722,0.43292655,0.04940615,0.743058546
"2067",2067,"UWADW","AFRLC","S","S","S",0.251355361,16734.96537,0,0.703708671,0.176801027,0.834839218,0.357963817,0.449055891,0.509655072,0.7990187,0.146680372,0.148855783,0.820023385,0.516509823,0.044286613,0.266323159,0.266842198,0.095698489,0.884237425,0.904768185,0.613764571,0.623071079,0.147162352,0.493101531
"2068",2068,"TJFOQ","OMAAJ","S","P","P",0.750585696,49474.85838,0,0.359646882,0.942973029,0.834877374,0.192514669,0.095988557,0.247026444,0.311664184,0.274158861,0.318013276,0.241156055,0.749157757,0.485644085,0.512306199,0.03216253,0.474799224,0.160824719,0.667112447,0.868027831,0.299728674,0.284368422,0.703640399
"2069",2069,"BNVST","SNIYN","P","S","P",0.203009981,2175.412588,0,0.386062682,0.267680085,0.423066572,0.106668124,0.670409481,0.974020492,0.844595567,0.625047686,0.095804782,0.822911237,0.646870278,0.16710037,0.000359216,0.569741043,0.670959543,0.247964834,0.697135806,0.760467263,0.009405208,0.680813214,0.708143091
"2070",2070,"RAUJH","IIDRI","S","S","S",0.230567036,38935.43249,2,0.768067112,0.147375663,0.563891446,0.601444648,0.382666144,0.727883172,0.473333469,0.21179662,0.401382763,0.035448603,0.352752115,0.165463668,0.817916778,0.710560179,0.428930625,0.629159136,0.972570239,0.613326563,0.269149695,0.45936157,0.596228693
"2071",2071,"QLNWD","BKUSC","S","P","S",0.04064682,11816.87848,0,0.519471561,0.492223765,0.945026895,0.739838859,0.270576137,0.757782444,0.969868941,0.289120323,0.384160077,0.556626278,0.844350469,0.212637394,0.877524422,0.53606289,0.130910074,0.253981083,0.791859043,0.030846621,0.700580747,0.466161634,0.330401595
"2072",2072,"FGSNK","HWWNH","S","U","S",0.616166694,8616.256463,2,0.257508001,0.014308773,0.166570377,0.606835425,0.530561707,0.19707553,0.316420855,0.563211714,0.603455251,0.703254732,0.695562257,0.516471934,0.126339779,0.909358582,0.124620398,0.143407507,0.961905539,0.164347176,0.246652103,0.259062509,0.931773914
"2073",2073,"DDLNY","WWEHM","P","S","S",0.503189782,15787.45229,4,0.695074845,0.621144541,0.97907319,0.669303452,0.414593686,0.276771452,0.233626922,0.668422818,0.24972366,0.60332673,0.047630861,0.505094452,0.02577219,0.321006223,0.526419198,0.133429574,0.878141544,0.534636907,0.498683126,0.008675223,0.787223504
"2074",2074,"KJHLC","NXDXB","S","S","S",0.038321649,28684.95588,0,0.788533898,0.403270466,0.2406814,0.711835337,0.642223042,0.579530197,0.382212527,0.790022977,0.932744506,0.354979615,0.11610022,0.910019445,0.48926925,0.792288818,0.1499052,0.834269878,0.158475419,0.455979241,0.319974094,0.542121139,0.812967065
"2075",2075,"HNJQB","ISNCH","P","S","P",0.757022028,962.6029457,0,0.191438314,0.421498972,0.713101298,0.052073499,0.223459515,0.202009326,0.640152074,0.106859653,0.862829851,0.929627971,0.10163952,0.71776843,0.298090192,0.004390511,0.81935043,0.723023918,0.338220321,0.684853263,0.825498334,0.243977974,0.553821702
"2076",2076,"HXDLQ","CLWNJ","S","S","U",0.823626443,12490.23087,3,0.27599519,0.195985176,0.817652536,0.412479992,0.6362792,0.87510489,0.519666532,0.471958168,0.671185502,0.829346515,0.598360495,0.923733557,0.665289537,0.691923416,0.887867745,0.334198528,0.244708458,0.626573456,0.468222975,0.225021604,0.750075801
"2077",2077,"RXLGJ","XQBFA","S","S","S",0.67405252,9432.731753,0,0.589115326,0.252600265,0.586831351,0.847051777,0.605905519,0.083751611,0.220545802,0.143048248,0.685443734,0.242284821,0.190781977,0.82791009,0.358253701,0.759261485,0.312846017,0.631166772,0.858463472,0.602800649,0.983955722,0.743585826,0.397703375
"2078",2078,"RDMWN","UVHPG","P","P","S",0.77614227,19536.17589,0,0.446157827,0.279690422,0.443620261,0.143380584,0.57948842,0.641656059,0.245483665,0.797188529,0.85727569,0.075890437,0.50794197,0.077245304,0.950042136,0.558120126,0.135612888,0.450853479,0.603561052,0.245816892,0.649683678,0.444997851,0.453600551
"2079",2079,"UYCON","SLLBN","S","S","P",0.553817661,45717.33281,0,0.374062001,0.108201147,0.285967344,0.854768261,0.694274138,0.429625703,0.151620214,0.350479746,0.092897733,0.764081958,0.160970927,0.282010096,0.488844224,0.047890523,0.430611817,0.069524954,0.429914376,0.793843543,0.528873887,0.446287475,0.682046299
"2080",2080,"WFNAD","SCFAB","U","P","P",0.230378106,17608.61896,2,0.924197418,0.070890205,0.20750507,0.947064077,0.230995821,0.737929763,0.243513435,0.442859504,0.675352572,0.228879057,0.212524822,0.114970288,0.484535799,0.657080557,0.997300865,0.495869432,0.161670075,0.433704632,0.154628792,0.054753036,0.546530059
"2081",2081,"VHQTM","HFSCE","P","P","S",0.796269599,3663.481654,1,0.251625896,0.931483762,0.726919247,0.308060055,0.259774481,0.065156895,0.81865274,0.097225954,0.010345112,0.194950558,0.586593962,0.071721627,0.562763455,0.861372651,0.962314058,0.697320141,0.355061279,0.838664434,0.470397292,0.275630421,0.644463015
"2082",2082,"XWFAO","BDDEX","P","P","S",0.275023702,27152.80712,1,0.70830908,0.255295675,0.599504355,0.49684793,0.633643419,0.476629665,0.229486953,0.91990936,0.960001326,0.772565714,0.884248225,0.719679672,0.239609999,0.583231352,0.855487968,0.718454164,0.196799953,0.796585055,0.516079919,0.106670698,0.578890556
